"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"99","1% Organic Dha Omega-3 Lowfat MilChocolate",1.25,0.62,11.67,11.25,0,3.33,0.062
"102","1.2.3 Gluten FreAaron's Favorite Rolls",0,0,80,8,4,4,1.52
"106","1/2 Cheese Pizza & 1/2 Pepperoni Pizza",8.89,3.7,31.85,6.67,1.5,8.89,0.459
"112","1/4 tourte bio",0.5,0.1,49.3,0.7,4.4,7,0.385826771653543
"114","10 All Butter PineapplCoconut & White Chocolate Cookies",29.4,20,56.7,33,2.9,5.1,0.236220472440945
"121","10 Burgers",15,5.4,1.5,1.5,2,13.5,0.31496062992126
"122","10 Burgers à l'Oignon",15,6.2,4.8,1.3,0.8,13,0.591
"123","10 burgers surgelés (15% M.G)",14.9,6.2,3.6,0,2.6,13.4,0.063
"124","10 chicken frankfurters smoked with natural beechwood",17,3.5,7.5,7.5,1,13.5,0.708661417322835
"126","10 choco barres chocolat noir",26,12,58,33,2.5,8,0.21
"128","10 crêpes demi-lune aux fromages",8.7,3,18.4,3.7,0.9,7,0.217
"129","10 Crêpes Jambon Fromage U,",6,1.4,18,3.1,0.9,6.8,0.334645669291339
"133","10 Croissants",20,10,44,10,3.4,7.5,0.590551181102362
"134","10 croquetas millet & emmental",14,2.6,30,1.7,2.1,6.9,0.511811023622047
"135","10 Croquetes de carne ultracongelados",5,1.6,23,2.8,2.1,12,0.551181102362205
"137","10 feuilletés Jambon Emmental",16.2,9.6,27.5,1.6,1.2,7.2,0.389763779527559
"138","10 Flammekueches alsaciennes lardons oignons",11.4,4.8,18.7,3,0.8,6,0.405511811023622
"139","10 frische Eier aus Bodenhaltung",11.2,3.3,0.58,0.34,0.5,13.1,0.127
"141","10 Gâteaux aux Pépites de Chocolat",19.9,4.6,53.7,33,2.7,5.3,0.3
"142","10 Gaufres fourrées Caramel",12,2,65,29,2.3,5.3,0.224409448818898
"143","10 hamburgers",15,6,2,0.69,2.3,12,0.327
"144","10 Kabeljau Fischstäbchen",7.8,1.1,14.7,2.1,1.1,12,0.334645669291339
"146","10 Madeleines au beurre d'Isigny",21.2,14,52.5,23.8,1.6,5,0.324803149606299
"148","10 Mini Cakes aux Figues Bio Monoprix",18,8.1,50,36,4,8.2,0.14
"149","10 mini cakes aux fruits",13.2,1.2,60.9,43.2,2.1,4.1,0.2
"150","10 mini cheeseburgers",9.9,4.1,27.7,8,2.1,14.3,0.433070866141732
"151","10 Mini Cônes Vanille Et Chocolat",22,16,43,31,1.8,4.4,0.0984251968503937
"154","10 Mini Navettes briochées saveur fleur d'oranger",12.5,6,56,15,2.8,8,0.196850393700787
"161","10 Original KnackHappy Birthday (Sel Réduit de 25 %)",23,9,2,2,1.2,12.5,0.570866141732283
"162","10 pains au chocolat",19.7,12.35,48,10.65,3.1,7,0.364173228346457
"164","10 pains au lait",8.7,5,53.3,33.1,0,9,0.433070866141732
"165","10 Pains au lait",11.5,6.9,54.6,13,1.8,8.9,0.358267716535433
"167","10 Pains Au Lait",12,3.8,53,12,2.2,7.6,0.511811023622047
"168","10 Pains au lait au levain",11,5.1,55.2,18.9,0,8.4,0.444881889763779
"169","10 Pains au lait au levain pépites de chocolat",17.6,8.2,50.2,20.8,2.9,7.7,0.409448818897638
"170","10 Pains au lait aux pépites de chocolat au lait",10.8,3.4,52.7,14.8,2,10.5,0.444881889763779
"172","10 pains en pâte à bretzel",6.5,0.52,47.5,4.7,0,8.5,0.433070866141732
"177","10 pork chipolata sausages",23.7,8.4,5.6,1.4,0.5,21.6,0.13
"181","10 seafood sticks",4.8,0.4,15,2.9,0,6.6,0.708661417322835
"185","10 slices of mature Cheddar cheese",32,20.8,0.5,0.5,0.5,25.5,0.708661417322835
"189","10 Tempura de Crevette",19.7,9.5,22.3,0,1.5,8.4,0.433070866141732
"191","10 Witte bollen",1.5,1,46,3.4,3,9.6,0.366141732283465
"192","10 Yakitorbrochettes de poulet mariné et épicé",2.1,0.49,12,10.3,0,19.3,0.6
"195","100 % cacao",21,13,17.3,0.4,28,18.1,0.14
"197","100 % Filet de Poulet Fermier (2 Tranches)",1,0.2,0.5,0.1,0.5,23,0.559055118110236
"200","100 % jus d'orange",0,0,8.8,8.6,0.6,0.5,0
"201","100 % Mie 7 Céréales Sans Croûte",5.8,0.6,40.2,5.3,4,10.3,0.413385826771654
"202","100 % Mie Complet Sans Croûte - Offre économique",4.7,1.1,41.2,4.3,4.8,7.7,0.453
"204","100 % Mie Nature Sans Croûte - Maxi Format",3.9,0.3,48.3,6,2,7.5,0.3937
"213","100 % pur jus 4 agrumes",0.05,0,11.2,10.55,0.2,0.5,0.00984251968503935
"215","100 % Pur Jus Ananas",0.2,0.1,13.3,12.45,0.3,0.45,0.0236220472440945
"222","100 % Pur Jus Multifruits (Format Familial)",0.1,0.1,10.5,10.5,0.1,0.5,0.0118110236220472
"225","100 % Pur Jus Orange",0.1,0.05,10.6,9.25,0.2,0.6,0.00196850393700787
"228","100 % pur jus Orange avec pulpe",0.1,0,10,9.5,0.1,0.7,0.00393700787401575
"229","100 % Pur Jus Orange avec pulpe",0,0,11,9.5,0,0.7,0.0118110236220472
"230","100 % pur jus orange Floride",0.5,0,9.4,8.7,0.5,0.7,0.0118110236220472
"233","100 % Pur Jus Pamplemousse Rose avec pulpe",0.1,0,9.4,9.4,0.2,0.5,0
"237","100 % pur jus Pomme",0.5,0,10,9.7,0.5,0.5,0.0118110236220472
"242","100 % Pur Jus Raisin",0.1,0.1,17,16,0.1,0.1,0.00393700787401575
"244","100 % pur jus tomate & légumes",0,0.1,3.6,3,0.9,0.7,0.15748031496063
"246","100 % Pure Pumpkin",0,0,9.17,3.33,2.5,1.67,0.008
"248","100 biscottes",6.2,4.9,72.9,72,4.4,10.1,0.551181102362205
"249","100 Biscottes",4.65,1.9,69,6.6,4.8,10.6,0.51
"258","100 Calorie Protein Snack Bar",35,5,35,20,5,20,0.05
"261","100 Calorie Snacks Baked CrispSour Cream & Onion",8.93,0,67.86,3.57,17.9,7.14,0.929
"262","100 Calorie Snacks Drizzled CrispCinnamon Bun Swirl",10.71,8.93,71.43,25,17.9,10.71,0.536
"263","100 Calorie Snacks Drizzled CrispS'Mores",10.71,8.93,71.43,21.43,17.9,10.71,0.536
"267","100% All Natural",0,0,5.71,2.86,2.9,0,0.386
"269","100% Apple Juice",0,0,12.085,11.46,0,0,0.0095
"273","100% Baby Kale",0.59,0,10.59,2.35,2.4,3.53,0.041
"274","100% Bananarama Organic",0.5,0.1,10,9.4,0.5,0.5,0.196850393700787
"276","100% Cacao",52,32,13,3.9,17,14,0
"277","100% CACAO",21,13,17.3,0.4,28,18.1,0.137795275590551
"287","100% Durum Semolina Linguine",1.75,0,71.93,3.51,3.5,12.28,0
"288","100% Durum Semolina Rigatoni",1.79,0,73.21,3.57,3.6,12.5,0
"289","100% Durum Wheat Semolina",1.79,0,73.21,3.57,3.6,10.71,0
"291","100% Egg WhiteLiquid Egg Product",0,0,2.17,0,0,10.87,0.163
"297","100% Fat Free MilUltra-Pasteurized",0,0,7.08,6.67,0,4.58,0.071
"299","100% Florida Orange Juice",0,0,11.04,8.96,0,0.83,0
"300","100% Fromage de brebis",9,6,0.9,0.9,0.5,19,1.10236220472441
"302","100% Fruit And Vegetable Juice Blends",0,0,11.67,11.25,0,0,0.027
"305","100% FRUIT Jus d'orange douce",0.5,0.5,9,9,0.5,0.7,0.0078740157480315
"308","100% fruit pomme rhubarbe",0.2,1e-04,11.9,9,2.5,0.3,0.00393700787401575
"309","100% Fruit SmoothiKaleifornia",0,0,9.58,7.08,0.4,0.83,0.033
"310","100% Fruit Strip",0,0,85.71,75,7.1,0,0.036
"313","100% Fruits Pommes Ananas Pêches",0.1,0,11.7,10.7,1.6,0.3,0.015748031496063
"314","100% fruits Pommes coings",0.1,0,10.3,9.9,1.9,0.2,0.02
"318","100% Grass Fed Organic Ground Beef",15.18,6.25,0,0,0,18.75,0.058
"320","100% Grated Parmesan Cheese",30,20,0,0,0,40,2.2
"321","100% Gravenstein Apple Juice",0,0,12,10,0.333,0,0
"322","100% Ground Beef Burgers",20.35,7.96,0,0,0,17.7,0.053
"326","100% Italian Extra Virgin Olive Oil",93.33,13.33,0,0,0,0,0
"328","100% JuicApple Grape",0,0,11.67,11.25,0,0,0.006
"329","100% JuicApplPear",0,0,12.5,10.83,0,0,0.002
"332","100% Juice - Blend From ConcentratCranberry",0,0,13.75,13.75,0,0,0.015
"339","100% Juice Fruit Punch From Concentrate",0,0,11.67,11.25,0.4,0,0.015
"341","100% Juice SmoothiAcai Machine",1.25,0.21,12.92,10,1.2,0.83,0.006
"343","100% Juice SmoothiBlue Machine",0,0,16.67,12.08,1.2,0.42,0.004
"344","100% Juice SmoothiBoosted Blue Machine",0,0,16.89,12.22,1.1,0.44,0.004
"346","100% Juice SmoothiMango Mix",0,0,13.75,11.25,1.2,0.42,0.009
"349","100% Juice Unfiltered Apple From Concentrate",0,0,11.25,11.25,0,0,0.015
"350","100% Juice Whispers Of Summer",0,0,12,12,0,0,0.0025
"351","100% Juice/Puree Blend Not From Concentrate",0,0,14.58,11.25,0.8,0.42,0
"352","100% JuicFlavored Juice Blend From Concentrate",0,0,13.75,13.75,0,0,0.015
"357","100% JuicOrangPeacMango",0,0,12.5,11.25,0,0,0.004
"361","100% JuicPrune",0,0,17.92,7.08,1.2,0.42,0.015
"362","100% JuicSliced Peaches",0,0,13.71,10.48,0.8,0,0.008
"365","100% JuicVegetable",0,0,4.17,2.08,0.8,0.83,0.288
"367","100% jus d'orange",0.5,0,11,9,0.5,0.5,0.02
"368","100% jus de grenade",0.3,0,17.2,17.2,1.1,1,0
"369","100% Lactose Free Milk",1.04,0.73,5,4.79,0,3.33,0.051
"376","100% Liquid Egg Whites",0,0,0,0,0,10.87,0.1685
"377","100% Manaki Extra Virgin Olive Oil",93.33,13.33,0,0,0,0,0
"379","100% Mango JuicMango",0,0,12.5,10.83,0.4,0,0.004
"381","100% mie brioché sans croût10 tranches",7.5,4.2,48.2,9.4,2.5,7.5,0.396
"383","100% mie Complet",4.3,0.4,39.7,6.7,7.1,7.2,0.429133858267717
"387","100% mie Nature",4.3,0.3,47.1,6.8,2.3,6.8,0.393700787401575
"390","100% mie nature sans croûte",3.9,0.3,48.3,6,2,7.5,0.393700787401575
"393","100% minatursans croûte",3.9,0.3,48.3,6,2,7.5,0.393700787401575
"398","100% Natural California Whole Pitted Dates",0,0,75,62.5,7.5,2.5,0
"399","100% Natural Cheese",32.14,17.86,3.57,0,0,25,0.643
"401","100% Natural Chicken Breast In Water",1.79,0,0,0,0,16.07,0.464
"402","100% Natural Coconut Water",0,0,6.4,3.2,0,0,0.014
"404","100% Natural CouscouOriginal",0,0,78.18,0,5.5,12.73,0.009
"405","100% Natural Diced TomatoeBasiGarlic & Oregano",0.41,0,5.69,4.07,0.8,0.81,0.203
"406","100% Natural Diced TomatoeRoasted Garlic & Onion",0,0,5.79,4.13,0.8,0.83,0.322
"407","100% Natural Flax Seeds",36.67,3.33,33.33,0,33.3,20,0.05
"411","100% Natural GranolWalnut",10,3.75,87.5,25,15,17.5,0.108
"415","100% Natural Mexican Style Queso Fresco Cheese",21.43,14.29,3.57,3.57,0,21.43,0.75
"417","100% Natural Oatmea100% Whole Grain Cereal",6.41,1.28,66.67,0,10.3,12.82,0
"418","100% Natural Oven Roasted Turkey Breast",1.79,0,3.57,1.79,0,17.86,0.911
"419","100% Natural Part Skim Ricotta Cheese",8.06,4.84,3.23,4.84,0,11.29,0.121
"424","100% Natural Pumpkin",0,0,9.17,3.33,3.3,1.67,0.008
"426","100% Natural Ravioli",7,3,31,3,2,10,0.41
"431","100% Natural Wheat Hot Dog Roll",3.41,0,45.45,4.55,4.6,11.36,0.477
"432","100% Natural Whole Peeled Tomatoes",0,0,3.31,2.48,0.8,0.83,0.149
"433","100% Natural YogurChocolate Vanilla",3.79,2.27,28.79,24.24,4.5,6.06,0.083
"439","100% Orange pressées avec pulpe",0,0,10,10,0.7,0.8,0
"440","100% orange sanguin de Sicile",0,0,11,9.5,0,0,0
"443","100% Oranges sans pulpe",0,0,8.2,7.8,0.5,0.7,0
"444","100% oranges sans pulpes",0,0,9.4,8.1,0.6,0.7,0
"445","100% Organic Acini Di Pepe No. 7Whole Wheat Pasta",2.68,0,76.79,1.79,10.7,10.71,0
"450","100% Organic All-Purpose Flour",0,0,76.67,0,3.3,13.33,0
"457","100% Organic Einkorn Traditional Penne Rigate Pasta",2.63,0,70.18,1.75,3.5,14.04,0
"458","100% Organic Einkorn Whole Wheat PastPenne Rigate",2.63,0,61.4,1.75,7,15.79,0
"460","100% Organic Extra Virgin Coconut Oil",100,85.71,0,0,0,0,0
"462","100% Organic Fruit Juice BlenPomegranate Ginger Cherry Limeade",0,0,14.83,13.14,0,0,0.004
"465","100% Organic Italian Whole Peeled Tomatoes",0,0,4.07,4.07,1.6,0.81,0.028
"466","100% Organic Lemonade",0,0,11.6,11.2,0,0,0
"474","100% Organic Traditional Egg PastTagliatelle Pasta",3.51,0.88,70.18,1.75,5.3,12.28,0.035
"478","100% Organic Whole Wheat Lasagna",2.68,0,76.79,1.79,8.9,10.71,0
"484","100% Pineapple Juice",0,0,12.08,11.25,0.8,0.42,0.015
"486","100% Pineapple Orange Juice",0,0,13.56,13.56,0,0.56,0.006
"489","100% Premium JuicOrange",0,0,10.83,9.17,0,0.83,0
"490","100% Premium Orange Juice",0,0,11,9.25,0,0.75,0
"493","100% Pumpkin",0,0,8.65,3.29,2.9,1.24,0.006
"496","100% Pur jus 3 fruits",0,0,12,9,0.6,0.5,0
"498","100% pur Jus 7 Fruits",0,0,12,12,0.5,0.25,0.002
"502","100% pur jus citron",0.1,0,6.5,1.7,0.4,0.4,0.00118110236220472
"503","100% pur jus Clémentine",0.5,0.1,12,12,0.1,0.5,0.00393700787401575
"505","100% pur jus clémentines",0,0,10.4,10.4,0.7,0,0
"508","100% pur jus d'ananas biologique",0.5,0.1,13.2,11.9,0.5,0.5,0
"509","100% pur jus d'orange",0.04,0.02,10.2,9.88,0.26,0.66,0.00436220472440945
"511","100% Pur Jus d'Orange",0.5,0,9.4,8.7,0.1,0.7,0.0118110236220472
"516","100% pur jus d\'Orange sans pulpe",0.2,0,10.5,9.5,0.6,0.5,0.01
"518","100% Pur Jus de Carotte",0.5,0.1,7.3,7.2,0.5,0.6,0.0708661417322835
"519","100% pur jus de citron",0.1,0,6.5,1.8,0.4,0.4,0.00196850393700787
"525","100% pur jus de pamplemousse rose",0.5,0,8.5,8.5,0.5,0.6,0.00393700787401575
"529","100% pur Jus de pomme Bio Village",0,0,11,11,0,0,0.002
"530","100% pur Jus de raisin Bio Village",0,0,18,17.3,0,0,0.01
"534","100% pur jus multifruits",0.5,0.1,10.7,10.15,0.5,0.55,0.00787401574803148
"536","100% Pur Jus OrangAnanas & Pêche",0.2,0,11.4,10.3,0.6,0.6,0.00196850393700787
"538","100% Pur Jus Orange",0,0,11.7,9.1,0,0.6,0.00393700787401575
"541","100% Pur jus Orange Pulpée",0.2,0.1,10,10,0.5,1,0.01
"544","100% pur jus Orange sans pulpe",0.25,0,9.8,9.3,0.5,0.5,0.0059055118110236
"546","100% Pur Jus Pamplemousse Blanc",0.2,0,8.7,7.8,0.2,0.6,0.00984251968503937
"547","100% pur jus pamplemousse Floride",0.5,0,7.6,7.6,0.5,0.5,0.0118110236220472
"548","100% Pur jus Pamplemousse rose pressé",0.2,0,8.7,7.8,0.2,0.6,0.005
"551","100% pur jus pasteurisé d'Oranges pressées Andros",0.1,0,12,12,0.5,0.7,0
"555","100% pur jus pomme",0,0,10,10,0.1,0.1,1
"557","100% Pur Jus Pomme",0.1,0,10.5,10.5,0.1,0.2,0.0118110236220472
"559","100% pur jus Pomme Framboise Aronia",0.1,0,10.1,10,0.5,0.2,0
"560","100% pur jus Pomme Pêche Abricot",0,0,9.8,9.8,1,0.3,0
"561","100% pur jus pomme pressé",0,0,11.5,10.4,0.1,0.1,0.009
"565","100% pur jus raisin rouge",0,0,15.9,15.9,0.2,0.2,0.00118110236220472
"566","100% pur jus raisins blanc biologiques",0.5,0.1,15,13,0.5,0.5,0
"567","100% Pur Jus Tomate Salé",0,0,3,2.8,0.5,0.6,0.118110236220472
"571","100% pure Apple Juice from Concentrate",0.1,0,10.4,10.4,0,0.1,0
"574","100% Pure Beef 1/3 Pound Patties",19.87,7.95,0,0,0,18.54,0.056
"582","100% Pure Canola Oil",100,7.14,0,0,0,0,0
"584","100% Pure Coconut Water With Banana",0,0,10,8,0,0,0.035
"586","100% Pure Coconut Water With Pure Guava",0,0,5.15,5.15,0,0,0.021
"587","100% Pure Corn Oil",100,14.29,3.57,0,0,0,0
"590","100% Pure Ground Beef Quarter Pound Burger",24.78,9.73,0,0,0,15.93,0.066
"592","100% Pure JuicOrange",0,0,10.97,9.44666666666667,0,0.83,0.00333333333333333
"593","100% pure jus orange",0.1,0,11,11,0.8,0.7,0
"594","100% Pure Maple Syrup",0,0,87.7766666666667,87.7766666666667,0,0,0.00833333333333333
"596","100% Pure Orange & Pineapple Juice",0.1,0,11.1,11.1,0.1,0.4,0
"597","100% Pure Orange Juice",0.0525,0,10.625,9.73,0.1,0.8725,0.0045
"601","100% Pure Peanut Oil",93.33,16.67,0,0,0,0,0
"603","100% Pure Premium Orange Juice From Concentrate",0,0,10.83,9.17,0,0.83,0
"607","100% Pure Sheep's Milk Cheese",32.14,21.43,0,0,0,17.86,1.464
"608","100% Pure Vegetable Cooking Oil",100,14.29,0,0,0,0,0
"613","100% Real Whey Protein Stevia Fraise",5.9,1.7,5.7,3.2,0,79,0.12992125984252
"619","100% Stone-Ground Whole Wheat Bread",6.52,0,52.17,6.52,8.7,8.7,0.543
"625","100% Tomato Juice",0,0,3.84666666666667,2.86833333333333,0.611666666666667,0.625,0.2625
"626","100% Tropical Blend Juice",0,0,12.08,9.58,0,0.42,0.004
"627","100% Unprocessed Artisanal Cane Sugar",0,0,80,80,0,0,0
"629","100% Valencia Pasteurized Orange Juice",0,0,10.83,9.17,0,0.83,0
"631","100% Vegetable & Fruit Juice BlenStrawberry Banana",0,0,11.67,10.42,0,0.42,0.029
"632","100% Vegetable & Fruit Juices BlenPeach Mango",0,0,11.67,10.83,0,0.42,0.029
"634","100% Vegetable Juice From Concentrate",0,0,4.17,3.33,0.8,0.83,0.175
"635","100% Vegetable Soup",0,0,0.59,0.59,0.6,0.59,0.014
"638","100% Virgin Pecan Oil",100,10.71,0,0,0,0,0
"640","100% Whey Isolate",0.45,0.2,2.65,1.9,0,83.4,0.25984251968504
"641","100% Whey Isolate - Chocolat - 700",0.5,0.5,2.4,0,0,84,0.188976377952756
"643","100% White Corn Tortilla Rounds Chips",28.57,3.57,64.29,0,7.1,7.14,0.304
"644","100% White Grape Juice",0,0,16.67,16.67,0,0,0.015
"649","100% Whole Grain Bread",5.77,0,46.15,7.69,7.7,15.38,0.442
"650","100% Whole Grain Fiber Bread",2.33,0,46.5,6.98,11.6,9.3,0.372
"651","100% Whole Grain Flavored Popcorn",40,3.33,46.67,0,10,6.67,1.067
"652","100% Whole Grain Hemp Seeds",46.43,3.57,7.14,0,3.6,35.71,0
"653","100% Whole Grain Made With White Wheat Flour",2.63,0,49.12,5.26,7,8.77,0.386
"657","100% Whole Grain Rotini",2.68,0,69.64,3.57,8.9,16.07,0
"658","100% Whole Grain RotinWhole Wheat Macaroni Product",2.68,0,73.21,3.57,10.7,12.5,0
"659","100% Whole Grain SpaghettWhole Wheat Macaroni Product",2.68,0,73.21,3.57,10.7,12.5,0
"661","100% whole wheat",2.94,0,47.06,8.82,5.9,11.76,0.559
"663","100% Whole Wheat & Honey Bread",3.33,0,53.33,6.67,8.9,11.11,0.422
"665","100% Whole Wheat Bagels",1.67,0.295,48.36,5.2775,6.35,11.67,0.4265
"666","100% Whole Wheat Bread",3.15172413793103,0,45.1096551724138,6.21551724137931,6.98965517241379,11.3375862068966,0.425137931034483
"667","100% Whole Wheat English Muffins",1.52,0,39.39,3.03,4.6,7.58,0.379
"670","100% Whole Wheat Fusilli",2.63,0,61.4,1.75,10.5,12.28,0
"672","100% Whole Wheat Hamburger Buns",4.05,0.68,43.24,6.76,5.4,9.46,0.446
"674","100% Whole Wheat Organic Bread",2.38,0,52.38,9.52,7.1,9.52,0.381
"675","100% Whole Wheat Penne Rigate",2.68,0,73.21,3.57,10.7,12.5,0
"676","100% Whole Wheat Pretzels",3.57,0,78.57,3.57,14.3,14.29,1.286
"682","100% Whole Wheat Spaghetti",2.63,0,61.4,1.75,10.5,12.28,0
"689","1000 Days Aged Gouda Holland Cheese",35.71,28.57,0,0,0,28.57,0.929
"691","1000 mg L.Carnitine",0,0,0,0,0,0,0
"697","108 Fusilli corti bucati",1,0.3,70,4,3,14,0.0078740157480315
"702","12 autres macaroncassis-violettpistachfruit de la passioréglisse",17.7,4.6,52.4,45.5,3.9,7.5,0.04
"703","12 barres au caramel et biscuit croquant",24,14,66,47,1.9,5.3,0.192913385826772
"705","12 Bâtonnets de poisson en croûte de rösti",8.7,0.7,23,0.8,0.9,11,0.31496062992126
"706","12 batonnets glacés",21.2,17.1,27.5,25.4,0.8,1.8,0.05
"707","12 bâtonnets saveur crabe",3.4,0.3,12,3.4,0.2,8.5,0.72
"709","12 Biscuits Tablette parfum Chocolat au Lait",22.9,18.9,67,39.2,2.5,5.5,0.192913385826772
"712","12 boulettes moelleuses",15,6,0.1,0.1,3.2,16,0.748031496062992
"713","12 Boulettes Végétariennes",4.3,0.6,12,1,4.4,18,0.590551181102362
"716","12 Candy Canes",0,0,100,91.67,0,0,0
"719","12 Cookies tout chocolat",23,14,62,31,4.5,6.5,0.200787401574803
"720","12 crêpes",10,5.2,66,26.8,1.6,6.4,0.887
"731","12 EmpanadaSurgelés",12.3,2.3,33.2,2.1,2.8,7.7,0.444881889763779
"736","12 Flavor Gummi Bears",0,0,75,45,0,5,0.062
"739","12 Gold Cupcakes With Buttercreme & Chocolate Icing",15.29,5.88,63.53,48.24,1.2,2.35,0.282
"741","12 Goûters au Chocolat",26.2,8.7,62.5,34.5,2.2,5.5,0.145669291338583
"743","12 Grain Mini Snack Crackers",20,1.67,70,6.67,10,6.67,0.6
"745","12 Hotdog Rolls",1.75,0,50.88,1.75,1.8,7.02,0.649
"748","12 macarons",15,3.4,57,51,2.8,8.5,0.110236220472441
"751","12 Mince Pies",15.5,4.9,60.9,31.5,3.2,3.9,0.0787
"752","12 Mini-bagels - surgelés 185 g",10,6.2,31.5,8.5,2.1,8.7,0.47
"754","12 mini-cônes",12.8,10.5,24.2,14.9,1.3,2.8,0.05
"755","12 mini-éclairs gourmands",11.6,6.6,32.2,19.1,2.7,5.4,0.181
"756","12 mini-wraps",10.2,5.4,20.8,5.8,2.5,8.9,0.47
"757","12 Mini Babybel",23,15.5,0.001,0.001,0,21.5,0.708661417322835
"758","12 mini couques aux pommes et beurre ou 12 mini couques aux amandes et beurre",14.2,8.7,57.4,37.1,0,4.3,0.228346456692913
"759","12 mini gaufres",28,14,50,30,1.6,6.8,0.299212598425197
"761","12 Mini Madeleines",23.6,13.3,45.5,23.1,0.7,6.7,0.393700787401575
"764","12 mini muffins",18.5,2.7,53.2,30.6,1.3,6.4,0.236220472440945
"768","12 months Matured Luxury Christmas Pudding",8.2,2.9,56,40,3.4,3.7,0.0787
"770","12 nuggets de poulet",11.8,1.5,22,0.5,1,14.3,0.4
"775","12 Oeufs frais plein air",9.8,2.9,0.7,0.7,0,12.3,0.118110236220472
"778","12 Pack Hazelnut Spread + Breadsticks",26.92,9.62,65.38,44.23,3.8,7.69,0.25
"779","12 pain au lait",10.3,3.5,52.3,7.5,0.99,9.9,0.448818897637795
"782","12 pains azymes",0.6,0.12,77.8,2.3,4.1,10,0
"784","12 Paquets De Gaufre Au Lait",17.8,4.22,58.5,36.6,1.4,6.2,0.114173228346457
